id;comments;ru;en
_prize_title_ipad;;Айпад;
_prize_title_iphone;;Айфон;
_prize_title_pc;;Компьютер;
_prize_title_noteboock;;Ноутбук;
_prize_title_pristavka;;Игровая приставка;
_prize_title_tv;;Телевизор;
_prize_title_stiralka;;Стиральная машинка;
_prize_title_posudomoyka;;Посудомоечная машинка;
_prize_title_duhovka;;Электроплита;
_prize_title_tablet;;Планшет;
_prize_title_video;;Видеокамера;
_prize_title_smartphone;;Смартфон;
_prize_title_photo;;Фотокамера;
_prize_title_pech;;Микроволновая печь;
_prize_title_telescope;;Телескоп;
_prize_title_microscope;;Микроскоп;
_prize_title_microphone;;Микрофон;
_prize_title_naushniki;;Наушники;
_prize_title_duhi;;Духи;
_prize_title_akum;;Внешний аккумулятор;
_prize_description_ipad;;Мощный и дорогой планшет.;
_prize_description_iphone;;Мощный и дорогой смартфон.;
_prize_description_pc;;Мощный компьютер для игр или работы.;
_prize_description_noteboock;;Портативный компьютер для работы и игр. Отличный подарок как взрослому, так и ребёнку.;
_prize_description_pristavka;;Современная игровая приставка - украшение и место досуга всей семьи в гостиной.;
_prize_description_tv;;Огромный телевизор с отличной передачей цвета и звука. Самое то для просмотра фильмов!;
_prize_description_stiralka;;Хорошая стиральная машина с функцией сушки и пароочистки. Незаменимая вещь для домашнего хозяйства.;
_prize_description_posudomoyka;;Эта встраиваемая посудомоечная машина, с 8 разными режимами работы сэкономит вам кучу времени.;
_prize_description_duhovka;;Эта электрическая плита с духовым шкафом будет радовать вас и вашу семью быстрым приготовлением пищи.;
_prize_description_tablet;;Обычный планшет на android среднего ценового сегмента.;
_prize_description_video;;Хорошая видеокамера для съёмки самых лучших и счастливых моментов жизни.;
_prize_description_smartphone;;Обычный смартфон на android среднего ценового сегмента.;
_prize_description_photo;;Зеркальная камера для создания ваших будущих фотошедевров.;
_prize_description_pech;;Быстро разогреет вчерашний ужин.;
_prize_description_telescope;;С ним вы начнёте открывать новые созвездия и изучите глубины космоса.;
_prize_description_microscope;;Микроскоп с 1000 кратным увеличением. Погрузись в микромир!;
_prize_description_microphone;;Чувствительный микрофон поможет вам в записи хитов или подкастов, а так же наделит ваш голос бархатным звучанием.;
_prize_description_naushniki;;Отличная передача звука и красивый дизайн - самое то для меломанов!;
_prize_description_duhi;;Женские духи с тонким ароматом.;
_prize_description_akum;;Продлит время работы ваших электронных устройств.;
_artifact_title_trap_1;;Ловушка 1;
_artifact_title_trap_2;;Ловушка 2;
_artifact_title_trap_3;;Ловушка 3;
_artifact_title_catch_1;;Захват 1;
_artifact_title_catch_2;;Захват 2;
_artifact_title_catch_3;;Захват 3;
_artifact_title_bank_1;;Газировка;
_artifact_title_accuracy_1;;Гиря;
_artifact_title_accuracy_2;;Тяжёлая гиря;
_artifact_title_speed_caret_1;;Шампанское;
_artifact_title_speed_caret_2;;Дорогое шампанское;
_artifact_title_try_1;;Оберег;
_artifact_title_delivery;;Доставка товаров;
_artifact_title_clear_characteristics;;Зелье сброса;
_artifact_title_xp_1;;Очки опыта;
_artifact_description_trap_1;;Простая ловушка для твоих противников.;
_artifact_description_trap_2;;Более сложная ловушка для твоих противников.;
_artifact_description_trap_3;;Очень опасная ловушка для твоих противников.;
_artifact_description_catch_1;;Маленький сувенир в подарок ведущему, из твоих родных мест.;
_artifact_description_catch_2;;Обычный сувенир в подарок ведущему.;
_artifact_description_catch_3;;Большой сувенир, который ведущий запомнит на всю свою жизнь.;
_artifact_description_bank_1;;Производитель щедро заплатит за рекламу своей газировки во время игры.;
_artifact_description_accuracy_1;;Чем больше на барабане гирь, тем тяжелее он крутится и легче целиться.;
_artifact_description_speed_caret_1;;Выпейте шампанского с ведущим для уверенности во время игры!;
_artifact_description_try_1;;Оберег одного из народов Сибири.;
_artifact_description_delivery;;Вызвать доставку новых товаров в магазин.;
_artifact_description_clear_characteristics;;Зелье, которое позволит начать жизнь с чистого листа.;
_artifact_description_xp_1;;Обменяй золото на очки опыта для нового уровня и повышения места в рейтинге.;
_achieve_title_full_stars_50;;Перфекционист;
_achieve_title_win_1;;Хороший старт;
_achieve_title_win_50;;Рождённый побеждать;
_achieve_title_coins_5000;;Банкир;
_achieve_title_coins_500;;Денежный мешок;
_achieve_title_score_2500;;Всезнайка;
_achieve_title_score_100000;;Легенда;
_achieve_title_full_mind;;Мудрец;
_achieve_title_full_accuracy;;Лучший стрелок;
_achieve_title_full_charisma;;Оратор;
_achieve_title_full_trade;;Гений торговли;
_achieve_title_full_speed_caret;;Флеш;
_achieve_title_full_company_army;;Военный гений;
_achieve_title_full_company_astronomy;;Звездочёт;
_achieve_title_full_company_geography;;Географ глобус пропил;
_achieve_title_full_company_history;;Летописец;
_achieve_title_full_company_sport;;Олимпиец;
_achieve_title_full_company_music;;Меломан;
_achieve_title_full_company_technologies;;Айтишник;
_achieve_title_full_inventary;;Коллекционер;
_achieve_description_full_stars_50;;Пройти 50 заданий на 3 звёзды.;
_achieve_description_win_1;;Впервые выиграть.;
_achieve_description_win_50;;Выиграть 50 раз.;
_achieve_description_coins_5000;;Накопить 50000 золотых монет.;
_achieve_description_coins_500;;Накопить 500 золотых монет.;
_achieve_description_score_2500;;Накопить 2500 опыта.;
_achieve_description_score_100000;;Накопить 10000 опыта.;
_achieve_description_full_mind;;Получить максимальный уровень Больше очков.;
_achieve_description_full_accuracy;;Получить максимальный уровень Точность прицела.;
_achieve_description_full_charisma;;Получить максимальный уровень Магазина.;
_achieve_description_full_trade;;Получить максимальный уровень Продажа призов.;
_achieve_description_full_speed_caret;;Получить максимальный уровень Скорость прицела.;
_achieve_description_full_company_army;;Пройти кампанию Армия и оружие.;
_achieve_description_full_company_astronomy;;Пройти кампанию Астрономия.;
_achieve_description_full_company_geography;;А ты нет! Пройти кампанию География.;
_achieve_description_full_company_history;;Пройти кампанию История.;
_achieve_description_full_company_sport;;Пройти кампанию Спорт.;
_achieve_description_full_company_music;;Пройти кампанию Музыка.;
_achieve_description_full_company_technologies;;Пройти кампанию Технологии.;
_achieve_description_full_inventary;;Собрать все призы в игре.;
_characteristic_title_mind;;Больше очков;
_characteristic_title_accuracy;;Точность прицела;
_characteristic_title_charisma;;Магазин;
_characteristic_title_trade;;Продажа призов;
_characteristic_title_speed_caret;;Скорость прицела;
_characteristic_description_mind;;Дополнительные очки за ответы и продажу призов;
_characteristic_description_accuracy;;Точность прицела на 7% выше;
_characteristic_description_charisma;;Завозят больше товаров. Товары дешевле.;
_characteristic_description_trade;;Цена продажи призов выше;
_characteristic_description_speed_caret;;Скорость прицела на 7% меньше;
_characteristic_value_mind;;+{{value}} оч.;
_characteristic_value_accuracy;;{{value}}%;
_characteristic_value_speed_caret;;{{value}}%;
_characteristic_value_charisma;;+{{value}} тов.;
_characteristic_value_trade;;{{value}}%;
_bot_name_andrew;;Андрей;
_bot_name_denis;;Денис;
_bot_name_igor;;Игорь;
_bot_name_ira;;Ира;
_bot_name_lena;;Лена;
_bot_name_max;;Макс;
_bot_name_alyona;;Алёна;
_bot_name_antonina;;Антонина;
_bot_name_lyosha;;Лёша;
_bot_name_proskovia;;Прасковья;
_company_name_tournir;;Любые;
_company_name_soundtrack_serial;;Саундтрек из сериалов;
_company_name_soundtrack_russia;;Саундтрек из российских фильмов;
_company_name_soundtrack_mir;;Саундтрек из зарубежных фильмов;
_company_name_soundtrack_ussr;;Саундтрек из советских фильмов;
_company_name_klassik;;Классическая музыка ;
_company_name_russkiy_pop;;Популярные песни;
_company_name_russkiy_rok;;Рок песни;
_company_name_kino_rus;;Российское и советское кино;
_company_name_kino_mir;;Мировое кино;
_company_name_games;;Игры;
_company_name_superhero;;Супергерои;
_company_name_flags;;Флаги мира;
_company_name_akter_mir;;Мировые актёры;
_company_name_akter_sssr;;Советские актёры;
_company_name_akter_rus;;Российские актёры;
_company_name_bloger;;Угадай блогера;
_company_name_army;;Армия и оружие;
_company_name_history;;История;
_company_name_geography;;География;
_company_name_astronomy;;Астрономия;
_company_name_sport;;Спорт;
_company_name_music;;Музыка;
_company_name_technologies;;Технологии;
_company_description_tournir;;РАЗНЫЕ ПРОТИВНИКИ И ЛЮБЫЕ ВОПРОСЫ;
_leader_hello_game;;ДОБРО ПОЖАЛОВАТЬ! НАЧИНАЕМ!;
_leader_hello_players;;ПРИВЕТСТВУЕМ НАШИХ ИГРОКОВ!;
_leader_show_quest;;ВНИМАНИЕ, ВОПРОС!;
_leader_show_symbols;;СЛОВО СОСТОИТ ИЗ {{len}} БУКВ!;
_leader_step_start_first;;НАЧНЁМ С ИГРОКА - {{name}}. КРУТИ БАРАБАН! ;
_leader_step_start_success;;{{name}}, ПРОДОЛЖАЕМ ИГРАТЬ! КРУТИ БАРАБАН! ;
_leader_step_start_fail;;ХОД ПЕРЕХОДИТ К СЛЕДУЮЩЕМУ ИГРОКУ! {{name}}, ТВОЙ ХОД! КРУТИ БАРАБАН!;
_leader_step_start_default;;{{name}}, ТВОЙ ХОД! КРУТИ БАРАБАН! ;
_leader_step_start_study_1;;ДОБРО ПОЖАЛОВАТЬ В НАШУ ИГРУ! ДАВАЙ НЕМНОГО РАССКАЖУ ТЕБЕ, ЧТО ДЕЛАТЬ.;
_leader_step_start_study_2;;ЗЕЛЁНАЯ ПОЛОСКА НА БАРАБАНЕ - ПРИЦЕЛ, ЭТО ТО МЕСТО, ГДЕ БАРАБАН ОСТАНОВИТСЯ!;
_leader_step_start_study_3;;КРУТИ БАРАБАН!;
_leader_catch_study_1;;СЕКТОРА МОЖНО ЗАХВАТЫВАТЬ, ПРИ ПОМОЩИ ПОДАРКОВ ВЕДУЩЕМУ!;
_leader_catch_study_2;;ЗАХВАЧЕННЫЕ СЕКТОРА УЛУЧШАЮТ ТВОЕГО ПЕРСОНАЖА ИЛИ ВРЕДЯТ СОПЕРНИКАМ!;
_leader_catch_study_3;;ЗАХВАТИ ЭТОТ СЕКТОР!;
_leader_keyboard_study_1;;ЧТОБЫ ВЫИГРАТЬ - ОТКРОЙ ВСЕ БУКВЫ НА ТАБЛО.;
_leader_keyboard_study_2;;ЗА КАЖДУЮ ОТКРЫТУЮ БУКВУ ТЫ ПОЛУЧАЕШЬ ОЧКИ С СЕКТОРА!;
_leader_shop_study_1;;ЗА ОЧКИ ПОКУПАЙ ПРИЗЫ В НАШЕМ МАГАЗИНЕ ПРИЗОВ!;
_leader_shop_study_2;;ПОЛУЧЕННЫЕ ПРИЗЫ МОЖНО ПРОДАТЬ МЕЖДУ РАУНДАМИ ЗА ЗОЛОТО!;
_leader_shop_study_3;;ЗА ЗОЛОТО МОЖНО КУПИТЬ ПОДАРКИ ВЕДУЩЕМУ, А ЗА ОЧКИ ПРОКАЧАТЬ ПЕРСОНАЖА.;
_leader_shop_study_4;;ПРОКАЧАЙ У ПЕРСОНАЖА ТОРГОВЛЮ, ЧТОБЫ ПРОДАТЬ ПРИЗЫ ДОРОЖЕ!;
_leader_player_full_word;; {{name}} ХОЧЕТ НАЗВАТЬ СЛОВО ЦЕЛИКОМ! И ТАК, ЧТО ЖЕ ЭТО ЗА СЛОВО?;
