index;level_id;type;resource;word;quest
1;1;image;acter_rus/habenskiy.jpg;Хабенский;Что это за актёр?
2;1;image;acter_rus/mashkov.jpg;Машков;Что это за актёр?
3;1;image;acter_rus/bichevin.jpg;Бичевин;Что это за актёр?
4;2;image;acter_rus/petrov.jpg;Петров;Что это за актёр?
5;2;image;acter_rus/mironov.jpg;Миронов;Что это за актёр?
6;2;image;acter_rus/bezrukov.jpg;Безруков;Что это за актёр?
7;3;image;acter_rus/menshikov.jpg;меньшиков;Что это за актёр?
8;3;image;acter_rus/makoveckiy.jpg;Маковецкий;Что это за актёр?
9;3;image;acter_rus/iljin.jpg;Ильин;Что это за актёр?
10;4;image;acter_rus/merzlikin.jpg;Мерзликин;Что это за актёр?
11;4;image;acter_rus/panin_andrey.jpg;Панин;Что это за актёр?
12;4;image;acter_rus/bodrov_ml.jpg;Бодров;Что это за актёр?
13;5;image;acter_rus/lyadova.jpg;Лядова;Что это за актриса?
14;5;image;acter_rus/hamatova.jpg;Хаматова;Что это за актриса?
15;5;image;acter_rus/litvinova.jpg;Литвинова;Что это за актриса?
16;6;image;acter_rus/golub.jpg;Голуб;Что это за актриса?
17;6;image;acter_rus/aronova.jpg;Аронова;Что это за актриса?
18;6;image;acter_rus/rapoport.jpg;Раппопорт;Что это за актриса?
19;7;image;acter_rus/fedorov.jpg;Федоров;Что это за актёр?
20;7;image;acter_rus/smolyakov.jpg;Смоляков;Что это за актёр?
21;7;image;acter_rus/chursin.jpg;Чурсин;Что это за актёр?
22;8;image;acter_rus/stepanov.jpg;Степанов;Что это за актёр?
23;8;image;acter_rus/porechenkov.jpg;Пореченков;Что это за актёр?
24;8;image;acter_rus/kizlovskiy.jpg;Козловский;Что это за актёр?
25;9;image;acter_rus/vdovichenkov.jpg;Вдовиченков;Что это за актёр?
26;9;image;acter_rus/ciganov.jpg;Цыганов;Что это за актёр?
27;9;image;acter_rus/puskepalis.jpg;Пускепалис;Что это за актёр?
28;10;image;acter_rus/pal.jpg;Паль;Что это за актёр?
29;10;image;acter_rus/burunov.jpg;Бурунов;Что это за актёр?
30;10;image;acter_rus/stichkin.jpg;Стычкин;Что это за актёр?
31;11;image;acter_rus/nikiforov.jpg;Никифоров;Что это за актёр?
32;11;image;acter_rus/artur-smolyaninov.jpg;Смольянинов;Что это за актёр?
33;11;image;acter_rus/boyarckaya.jpg;Боярская;Что это за актриса?
34;12;image;acter_rus/isakova.jpg;Исакова;Что это за актриса?
35;12;image;acter_rus/peresild.jpg;Пересильд;Что это за актриса?
36;12;image;acter_rus/snigir.jpg;Снигирь;Что это за актриса?
37;12;image;acter_rus/chagin.jpg;Шагин;Что это за актёр?
