index;level_id;type;resource;word;quest
1;1;image;acter_sssr/visockiy.jpg;Высоцкий;Что это за актёр?
2;1;image;acter_sssr/demyanenko.jpg;Демьяненко;Что это за актёр?
3;1;image;acter_sssr/solomin.jpg;Соломин;Что это за актёр?
4;2;image;acter_sssr/myagkov.jpg;Мягков;Что это за актёр?
5;2;image;acter_sssr/kamarov.jpg;Комаров;Что это за актёр?
6;2;image;acter_sssr/bronevoy.jpg;Броневой;Что это за актёр?
7;3;image;acter_sssr/leonov.jpg;Леонов;Что это за актёр?
8;3;image;acter_sssr/shukshin.jpg;Шукшин;Что это за актёр?
9;3;image;acter_sssr/oleg_efremov.jpg;Ефремов;Что это за актёр?
10;4;image;acter_sssr/tihonov.jpg;Тихонов;Что это за актёр?
11;4;image;acter_sssr/tabakov.jpg;Табаков;Что это за актёр?
12;4;image;acter_sssr/rolan_bikov.jpg;Ролан Быков;Что это за актёр?
13;5;image;acter_sssr/nikulin.jpg;Никулин;Что это за актёр?
14;5;image;acter_sssr/evstigneev.jpg;Евстигнеев;Что это за актёр?
15;5;image;acter_sssr/sergey_bondarchuk.jpg;Бондарчук;Что это за актёр?
16;6;image;acter_sssr/leonid_bikov.jpg;Быков;Что это за актёр?
17;6;image;acter_sssr/batalov.jpg;Баталов;Что это за актёр?
18;6;image;acter_sssr/lubshin.jpg;Любшин;Что это за актёр?
19;7;image;acter_sssr/yakovlev.jpg;Яковлев;Что это за актёр?
20;7;image;acter_sssr/smoktunovskiy.jpg;Смоктуновский;Что это за актёр?
21;7;image;acter_sssr/basiachvili.jpg;Басилашвили;Что это за актёр?
22;8;image;acter_sssr/pugovkin.jpg;Пуговкин;Что это за актёр?
23;8;image;acter_sssr/utesov.jpg;Утесов;Что это за актёр?
24;8;image;acter_sssr/morgunov.jpg;Моргунов;Что это за актёр?
25;9;image;acter_sssr/dvorjeckiy.jpg;Дворжецкий;Что это за актёр?
26;9;image;acter_sssr/lavrov.jpg;Кирилл Лавров;Что это за актёр?
27;9;image;acter_sssr/samoylenko.jpg;Самойлов;Что это за актёр?
28;10;image;acter_sssr/smirnov.jpg;Смирнов;Что это за актёр?
29;10;image;acter_sssr/basov.jpg;Басов;Что это за актёр?
30;10;image;acter_sssr/vicin.jpg;Вицин;Что это за актёр?
31;11;image;acter_sssr/gerdt.jpg;Гердт;Что это за актёр?
32;11;image;acter_sssr/jenov.jpg;Жженов;Что это за актёр?
33;11;image;acter_sssr/zeldin.jpg;Зельдин;Что это за актёр?
34;12;image;acter_sssr/plyatt.jpg;Ростислав Плятт;Что это за актёр?
35;12;image;acter_sssr/milyar.jpg;Милляр;Что это за актёр?
36;12;image;acter_sssr/aleksandrov.jpg;Александров;Что это за актёр?
