index;level_id;word;quest
1;1;берет;Этот лёгкий головной убор носят с гордостью.
2;1;парад;Военные используют его для показа своей формы и смотра состояния войск.
3;1;шлем;Головной убор в танковых войсках.
4;2;котелок;Этот предмет солдатского быта плотно вошёл и в гражданскую жизнь.
5;2;пистолет;Это используется в качестве награждения и в качестве оружия.
6;2;погоны;При помощи этого военные различают друг друга.
7;3;камуфляж;Именно он позволяет скрыться с глаз противника.
8;3;максим;Название песни и знаменитого оружия.
9;3;катюша;Оружие с красивым названием, наводившее ужас на немецких захватчиков.
10;4;витязь;Так называли отважного воина на Руси
11;4;кольчуга;Это старинная одежда у русского ратника.
12;4;застава;Название укреплённого военного пункта.
13;5;абордаж;Именно этот способ ведения боя полюбили кинематографисты в фильмах про пиратов.
14;5;десятка;Именно в это место попадают особо меткие стрелки.
15;5;ружьё;О чём говорили: 'Невелик Матвей, а далеко плюёт'?
16;6;бескозырка;Название этого головного убора, обыгрывает его форму.
17;6;артиллерист;Кем служил на войне автор 'Войны и мира'?
18;6;гарнизон;Так называли воисковую часть, расположенную в крепости.
19;7;доспехи;Именно это сохранило немало жизней воинов в древности.
20;7;гвардия;Часть армии из отобранных бойцов.
21;7;караул;Так называют воинов, несущих охрану чего-либо.
22;8;маневр;Название тактического перемещения войск.
23;8;кобура;Предмет для хранения оружия.
24;8;фуражка;Элемент одежды, который носят высокие чины в армии.
25;9;вооружать;Именно от этого слова повилась 'Армия'?
26;9;будёновка;Название одного из самых оригинальных и колоритных головных уборов Российской армии.
27;9;каска;Это защищает жизни не только солдат, но и обычных людей на гражданке.
28;10;бинокль;Без этого атрибута не обходится ни одна подготовка к сражению.
29;10;камбуз;Одно из мест, где готовят еду.
30;10;корпус;Так называют крупное подразделение войск.
31;11;редут;Название вида укрепления в обороне.
32;11;кирза;Из этой ткани производится один из символов русской армии.
33;11;суворов;Фамилия автора высказывания 'Сам погибай, а товарища выручай'?
34;12;портянка;Этот предмет гардероба солдата использовался на протяжении столетий вплоть до 21 века.
35;12;тельняшка;Этот элемент одежды появился в морских войсках, затем перекочевав в другие рода войск.
36;12;штурвал;Это есть и у корабля и у самолёта.
