index;level_id;type;resource;word;quest
1;1;image;games/quest_1.jpg;Марио;Как зовут этого персонажа игры?
2;1;image;games/quest_2.jpg;Соник;Как зовут этого персонажа игры?
3;1;image;games/quest_3.jpg;Пикачу;Как зовут этого персонажа игры?
4;2;image;games/quest_5.jpg;сталкер;Что это за игра?
5;2;image;games/quest_4.jpg;Майнкрафт;Что это за игра?
6;2;image;games/quest_6.jpg;Обитель зла;Что это за игра?
7;3;image;games/quest_8.jpg;Макс Пейн;Как зовут этого персонажа игры?
8;3;image;games/quest_7.jpg;большой папочка;Как зовут этого персонажа игры?
9;3;image;games/quest_9.jpg;Скорпион;Как зовут этого персонажа игры?
10;4;text;games/quest_10.jpg;Луиджи;Как зовут брата Марио?
11;4;text;games/quest_11.jpg;стрелок;Другое прозвище Меченного в Сталкере
12;4;text;games/quest_12.jpg;Крышки;Какая валюта в игре Fallout 3?
13;5;image;games/quest_14.jpg;Крэш Бандикут;Из какой игры этот скриншот?
14;5;image;games/quest_15.jpg;Марио карт;Из какой игры этот скриншот?
15;5;image;games/quest_13.jpg;Мортал Комбат;Из какой игры этот скриншот?
16;6;image;games/quest_18.jpg;Артур Морган;Как зовут этого персонажа игры?
17;6;image;games/quest_16.jpg;Нико Беллик;Как зовут этого персонажа игры?
18;6;image;games/quest_17.jpg;Джилл Валентайн;Как зовут этого персонажа игры?
19;7;image;games/quest_19.jpg;Портал;Из какой игры этот скриншот?
20;7;image;games/quest_20.jpg;Фоллаут;Из какой игры этот скриншот?
21;7;image;games/quest_21.jpg;Скайрим;Из какой игры этот скриншот?
22;8;text;games/quest_22.jpg;варкрафт;Какая MMORPG-игра может похвастаться миллионами активных подписчиков в месяц?
23;8;text;games/quest_23.jpg;симсити;Какая строительная игра позволяет игрокам обрушивать на города стихийные бедствия?
24;8;text;games/quest_24.jpg;Чужой изоляция;В какой игре космического ужаса игроки уклоняются от опасного ксеноморфа?
25;9;image;games/quest_26.jpg;Готика;Из какой игры этот скриншот?
26;9;image;games/quest_27.jpg;Обливион;Из какой игры этот скриншот?
27;9;image;games/quest_25.jpg;Халф лайф;Из какой игры этот скриншот?
28;10;image;games/quest_29.jpg;Тревор Филипс;Как зовут этого персонажа игры?
29;10;image;games/quest_28.jpg;Джоэл Миллер;Как зовут этого персонажа игры?
30;10;image;games/quest_30.jpg;Натан Дрейк;Как зовут этого персонажа игры?
31;11;image;games/quest_31.jpg;Дэд спейс;Из какой игры этот скриншот?
32;11;image;games/quest_32.jpg;Бордерлэндс;Из какой игры этот скриншот?
33;11;image;games/quest_33.jpg;Фар край;Из какой игры этот скриншот?
34;12;text;games/quest_34.jpg;Итан Уинтерс;Главный герой игры resident evil 7
35;12;text;games/quest_35.jpg;Джон Марстон;Главный член банды Ван дер Линде Red dead redemption
36;12;text;games/quest_36.jpg;Джек Райан;Главный герой и единственный выживший из пассажиров авиалайнера в игре Bioshock 
