index;level_id;type;resource;music;word;quest;random_sort
1;1;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/beliye_rosi.ogg;белые розы;Что это за песня?;10000011
2;1;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/lubimka.ogg;любимка;Что это за песня?;10000010
3;1;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/ostanus.ogg;останусь;Что это за песня?;10000009
4;2;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/ryumka_vodki_na_stole.ogg;рюмка водки;Что это за песня?;10000008
5;2;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/boje_kakoy_pustyak.ogg;боже какой пустяк;Что это за песня?;10000007
6;2;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/vahtyoram.ogg;вахтёрам;Что это за песня?;10000006
7;3;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/gorodok.ogg;городок;Что это за песня?;10000005
8;3;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/mama.ogg;мама;Что это за песня?;10000003
9;3;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/gorod_kotorogo_net.ogg;город которого нет;Что это за песня?;10000004
10;4;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/klyon.ogg;клён;Что это за песня?;10000001
11;4;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/v_jizni_tak_bivayet.ogg;в жизни так бывает;Что это за песня?;10000000
12;4;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/millon_alih_roz.ogg;миллион алых роз;Что это за песня?;10000002
13;5;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/vipusknoy.ogg;выпускной;Что это за песня?;67090
14;5;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/sinyaa_vechnost.ogg;синяя вечность;Что это за песня?;4945
15;5;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/ya_lublu_tebya_do_slyoz.ogg;я люблю тебя до слёз;Что это за песня?;79573
16;6;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/lambada.ogg;ламбада;Что это за песня?;19725
17;6;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/mokriye_krossi.ogg;мокрые кроссы;Что это за песня?;25905
18;6;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/luna_ne_znaet_puti.ogg;луна не знает пути;Что это за песня?;74221
19;7;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/shopen.ogg;шопен;Что это за песня?;35736
20;7;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/spektakl_okonchen.ogg;спектакль окнчен;Что это за песня?;84348
21;7;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/prekrasnoe_dalyoko.ogg;прекрасное далёко;Что это за песня?;28720
22;8;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/opyat_metel.ogg;опять метель;Что это за песня?;13846
23;8;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/ne_plach.ogg;не плачь;Что это за песня?;3152
24;8;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/nezakoncheniy_roman.ogg;незаконченный роман;Что это за песня?;97972
25;9;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/odno_i_toje.ogg;одно и тоже;Что это за песня?;11045
26;9;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/samiy_luchshiy_den.ogg;самый лучший день;Что это за песня?;76033
27;9;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/prityajenya_bolshe_net.ogg;притяженья больше нет;Что это за песня?;33395
28;10;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/kolshik.ogg;кольщик;Что это за песня?;58203
29;10;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/polovina_moya.ogg;половина моя;Что это за песня?;83803
30;10;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/vzglyani_na_nebo.ogg;взгляни на небо;Что это за песня?;63236
31;11;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/kabriolet.ogg;кабриолет;Что это за песня?;46909
32;11;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/rozovoye_vino.ogg;розовое вино;Что это за песня?;70303
33;11;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/piyanoye_solnce.ogg;пьяное солнце;Что это за песня?;62344
34;12;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/golaya.ogg;голая;Что это за песня?;97474
35;13;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/plakala.ogg;плакала;Что это за песня?;44395
36;12;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/tak_je_kak_vse.ogg;так же как все;Что это за песня?;94777
37;12;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/nadejda.ogg;надежда;Что это за песня?;2431
38;13;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/vdvoyom.ogg;вдвоём;Что это за песня?;33041
39;13;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/kolibelnaya.ogg;колыбельная;Что это за песня?;29096
40;14;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/cadillac.ogg;кадиллак;Что это за песня?;31060
41;14;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/imperatrica.ogg;императрица;Что это за песня?;8475
42;14;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/pozovi_menya_s_soboy.ogg;позови меня с собой;Что это за песня?;83944
43;15;music;bg_scene/bg_russkiy_pop.jpg;russkiy_pop/lubi_menya_lubi.ogg;люби меня люби;Что это за песня?;46889
