index;level_id;type;resource;music;word;quest;random_sort
1;1;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/chelovek_i_koshka.ogg;человек и кошка;Что это за песня?;10000010
2;1;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/spokoynaya_noch.ogg;спокойная ночь;Что это за песня?;10000009
3;1;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/zvezda_po_imeni_solnce.ogg;звезда по имени солнце;Что это за песня?;10000011
4;2;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/vihoda_net.ogg;выхода нет;Что это за песня?;10000008
5;2;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/v_nashih_glazah.ogg;В наших глазах;Что это за песня?;10000007
6;2;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/nikto_ne_uslichit.ogg;Никто не услышит;Что это за песня?;10000006
7;3;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/doroga_v_oblaka.ogg;дорога в облака;Что это за песня?;10000005
8;3;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/chto_takoye_osen.ogg;что такое осень;Что это за песня?;10000004
9;3;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/pachka_sigaret.ogg;пачка сигарет;Что это за песня?;10000003
10;4;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/peremen.ogg;перемен;Что это за песня?;10000001
11;4;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/generaly_peschannih_karyerov.ogg;генералы песчаных карьеров;Что это за песня?;10000000
12;4;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/ya_hochu_bit_s_toboy.ogg;Я хочу быть с тобой;Что это за песня?;10000002
13;5;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/vidihay.ogg;выдыхай;Что это за песня?;92693
14;5;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/iskala.ogg;искала;Что это за песня?;63610
15;5;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/lirika.ogg;лирика;Что это за песня?;34276
16;6;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/musikant.ogg;музыкант;Что это за песня?;91407
17;6;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/tri_poloski.ogg;три полоски;Что это за песня?;19122
18;6;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/v_plye_belom.ogg;в платье белом;Что это за песня?;1777
19;7;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/mne_bi_v_nebo.ogg;мне бы в небо;Что это за песня?;47490
20;7;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/kukla_kolduna.ogg;кукла колдуна;Что это за песня?;36929
21;7;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/proklyatiy_stariy_dom.ogg;проклятый старый дом;Что это за песня?;68811
22;8;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/beliy_kolpak.ogg;белый колпак;Что это за песня?;3614
23;8;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/gorod_kotorogo_net.ogg;город которого нет;Что это за песня?;82286
24;8;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/nashi_yunie_smechniye_golosa.ogg;Наши юные смешные голоса;Что это за песня?;94099
25;9;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/doroga.ogg;дорога;Что это за песня?;38781
26;9;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/vechno_molodoy.ogg;вечно молодой;Что это за песня?;56644
27;9;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/malenkaya_devochka.ogg;маленькая девочка;Что это за песня?;64581
28;10;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/utekay.ogg;утекай;Что это за песня?;19306
29;10;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/gorod_zolotoy.ogg;город золотой;Что это за песня?;66918
30;10;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/durak_i_molniya.ogg;дурак и молния;Что это за песня?;54104
31;11;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/cveti.ogg;ЦВеты;Что это за песня?;23887
32;11;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/severniy_veter.ogg;северный ветер;Что это за песня?;65863
33;11;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/napoi_menya_vodoy.ogg;напои меня водой;Что это за песня?;9390
34;12;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/ya_vernus.ogg;я вернусь;Что это за песня?;36447
35;12;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/tvoy_zvonok.ogg;твой звонок;Что это за песня?;26379
36;12;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/bespechniy_angel.ogg;беспечный ангел;Что это за песня?;22924
37;13;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/gorod.ogg;Город;Что это за песня?;13374
38;13;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/poslediy_geroy.ogg;последний герой;Что это за песня?;53637
39;13;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/orbit_bez_sahara.ogg;орбит без сахара;Что это за песня?;21342
40;14;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/perekryostok.ogg;перекрёсток;Что это за песня?;79499
41;14;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/moyo_pokoleniye.ogg;моё поколение;Что это за песня?;78201
42;14;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/kofe_moy_drug.ogg;кофе мой друг;Что это за песня?;35979
43;15;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/serebro.ogg;серебро;Что это за песня?;46077
44;15;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/musorniy_veter.ogg;мусорный ветер;Что это за песня?;44237
45;15;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/moy_rock_n_roll.ogg;мой рок на ролл;Что это за песня?;5697
46;16;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/na_zare.ogg;на заре;Что это за песня?;58397
47;16;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/povorot.ogg;поворот;Что это за песня?;79948
48;16;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/moya_babushka_kurit_trubku.ogg;моя бабушка курит трубку;Что это за песня?;7012
49;17;music;bg_scene/bg_russkiy_rok.jpg;russkiy_rok/varvara.ogg;варвара;Что это за песня?;36433
