index;level_id;type;resource;music;word;quest;random_sort
1;1;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-75.ogg;назад в будущее;Из какого фильма эта музыка?;37481
2;1;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-85.ogg;титаник;Из какого фильма эта музыка?;73288
3;1;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-151.ogg;Безумный Макс;Из какого фильма эта музыка?;21913
4;2;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-86.ogg;форрест гамп;Из какого фильма эта музыка?;94036
5;2;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-146.ogg;Отрочество;Из какого фильма эта музыка?;130
6;2;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-142.ogg;Отель Гранд Будапешт;Из какого фильма эта музыка?;47440
7;3;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-144.ogg;Прибытие;Из какого фильма эта музыка?;54547
8;3;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-138.ogg;Бегущий по лезвию;Из какого фильма эта музыка?;97543
9;3;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-152.ogg;Охотники за привидениями;Из какого фильма эта музыка?;30533
10;4;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-145.ogg;Амели;Из какого фильма эта музыка?;89422
11;4;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-73.ogg;люди в чёрном;Из какого фильма эта музыка?;39356
12;4;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-87.ogg;хороший плохой злой;Из какого фильма эта музыка?;88676
13;5;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-72.ogg;ла ла ленд;Из какого фильма эта музыка?;35501
14;5;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-74.ogg;матрица;Из какого фильма эта музыка?;36528
15;5;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-126.ogg;Дюнкерк;Из какого фильма эта музыка?;63022
16;6;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-135.ogg;Драйв;Из какого фильма эта музыка?;74381
17;6;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-76.ogg;начало;Из какого фильма эта музыка?;17317
18;6;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-136.ogg;Крёстный отец;Из какого фильма эта музыка?;93697
19;7;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-70.ogg;космическая одиссея;Из какого фильма эта музыка?;4520
20;7;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-139.ogg;8 миля;Из какого фильма эта музыка?;22758
21;7;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-117.ogg;бэтмен;Из какого фильма эта музыка?;85392
22;8;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-78.ogg;олд бой;Из какого фильма эта музыка?;18870
23;8;music;bg_scene/bg_soundtrack_mir.jpg;soundtrack_from_alisa/sound-129.ogg;Четыре комнаты;Из какого фильма эта музыка?;14720
