index;level_id;type;resource;music;word;quest;random_sort
1;1;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-7.ogg;брат;Из какого фильма эта музыка?;67544
2;1;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-41.ogg;остров;Из какого фильма эта музыка?;54906
3;1;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-46.ogg;турецкий гамбит;Из какого фильма эта музыка?;92055
4;2;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-212.ogg;аритмия;Из какого фильма эта музыка?;59089
5;2;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-35.ogg;дневной дозор;Из какого фильма эта музыка?;34552
6;2;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-234.ogg;горько;Из какого фильма эта музыка?;82660
7;3;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-8.ogg;бумер;Из какого фильма эта музыка?;13694
8;3;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-34.ogg;война;Из какого фильма эта музыка?;56649
9;3;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-38.ogg;левиафан;Из какого фильма эта музыка?;52939
10;4;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-40.ogg;ночной дозор;Из какого фильма эта музыка?;46803
11;4;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-227.ogg;пыль;Из какого фильма эта музыка?;51342
12;4;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-211.ogg;лето;Из какого фильма эта музыка?;4293
13;5;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-223.ogg;братство;Из какого фильма эта музыка?;10496
14;5;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-36.ogg;дурак;Из какого фильма эта музыка?;5260
15;5;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-222.ogg;нелюбовь;Из какого фильма эта музыка?;38154
16;6;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-48.ogg;шапито шоу;Из какого фильма эта музыка?;92215
17;6;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-215.ogg;хардкор;Из какого фильма эта музыка?;76269
18;6;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-43.ogg;самый лучший фильм;Из какого фильма эта музыка?;50126
19;7;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-32.ogg;брат два;Из какого фильма эта музыка?;3659
20;7;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-214.ogg;день выборов;Из какого фильма эта музыка?;69678
21;7;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-37.ogg;живой;Из какого фильма эта музыка?;53686
22;8;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-210.ogg;сволочи;Из какого фильма эта музыка?;98747
23;8;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-39.ogg;мне не больно;Из какого фильма эта музыка?;91259
24;8;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-227.ogg;антикиллер;Из какого фильма эта музыка?;71379
25;9;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-218.ogg;питер фм;Из какого фильма эта музыка?;89032
26;9;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-231.ogg;свои;Из какого фильма эта музыка?;62195
27;9;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-226.ogg;спутник;Из какого фильма эта музыка?;34893
28;10;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-213.ogg;юморист;Из какого фильма эта музыка?;93745
29;10;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-31.ogg;девятая рота;Из какого фильма эта музыка?;87057
30;10;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-217.ogg;сибирский цирюльник;Из какого фильма эта музыка?;6503
31;11;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-236.ogg;дурак;Из какого фильма эта музыка?;27902
32;11;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-230.ogg;самый лучший день;Из какого фильма эта музыка?;56155
33;11;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-47.ogg;утомлённые солнцем;Из какого фильма эта музыка?;12623
34;12;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-235.ogg;бой с тенью;Из какого фильма эта музыка?;31025
35;12;music;bg_scene/bg_soundtrack_russia.jpg;soundtrack_from_alisa/sound-42.ogg;притяжение;Из какого фильма эта музыка?;17012
