index;level_id;type;resource;music;word;quest;random_sort
1;1;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-167.ogg;Солдаты;Из какого сериала эта музыка?;59836
2;1;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-5.ogg;игра престолов;Из какого сериала эта музыка?;78479
3;1;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-57.ogg;моя прекрасная няня;Из какого сериала эта музыка?;69261
4;2;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-51.ogg;ведьмак;Из какого сериала эта музыка?;4072
6;2;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-60.ogg;тайны смолвиля;Из какого сериала эта музыка?;9371
5;2;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-56.ogg;мир дикого запада;Из какого сериала эта музыка?;37672
7;3;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-175.ogg;Оттепель;Из какого сериала эта музыка?;13782
8;3;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-19.ogg;гостья из будущего;Из какого сериала эта музыка?;4945
9;3;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-59.ogg;секретные материалы;Из какого сериала эта музыка?;12309
10;4;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-180.ogg;Блудливая Калифорния;Из какого сериала эта музыка?;56484
11;4;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-62.ogg;универ;Из какого сериала эта музыка?;57504
12;4;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-160.ogg;Ранетки;Из какого сериала эта музыка?;34272
13;5;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-155.ogg;Офис;Из какого сериала эта музыка?;11979
15;5;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-161.ogg;Шерлок;Из какого сериала эта музыка?;35519
14;5;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-172.ogg;Очень странные дела;Из какого сериала эта музыка?;14358
17;6;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-61.ogg;твин пикс;Из какого сериала эта музыка?;97266
16;6;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-173.ogg;Сверхъестественное;Из какого сериала эта музыка?;17035
18;6;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-166.ogg;Теория большого взрыва;Из какого сериала эта музыка?;20072
19;7;music;bg_scene/bg_soundtrack_serial.jpg;soundtrack_from_alisa/sound-169.ogg;Пацаны;Из какого сериала эта музыка?;833
