index;level_id;type;resource;word;quest
1;1;image;superhero/quest_1.jpg;Железный человек;Как зовут этого супергероя?
2;1;image;superhero/quest_2.jpg;Капитан Америка;Как зовут этого супергероя?
3;1;image;superhero/quest_3.jpg;Доктор Стрэндж;Как зовут этого супергероя?
4;2;image;superhero/quest_5.jpg;Шазам;Как зовут этого супергероя?
5;2;image;superhero/quest_6.jpg;Флэш;Как зовут этого супергероя?
6;2;image;superhero/quest_4.jpg;Бэтмэн;Как зовут этого супергероя?
7;3;text;superhero/quest_7.jpg;Криптонит;В чем слабость Супермена?
8;3;text;superhero/quest_8.jpg;Брюс Уэйн;Как зовут Бэтмена?
9;3;text;superhero/quest_9.jpg;Женщина-кошка;Какой персонаж обычно романтически сочетается с Бэтменом?
10;4;text;superhero/quest_10.jpg;Уэйд Уилсон;Какое настоящее имя Дэдпула?
11;4;text;superhero/quest_11.jpg;Тессеракт;Откуда Капитан Марвел получает свои силы?
12;4;text;superhero/quest_12.jpg;Дейли Бьюгл;Как называется газетная компания, в которой работает Питер Паркер?
13;5;image;superhero/quest_14.jpg;Зелёный Фонарь;Как зовут этого супергероя?
14;5;image;superhero/quest_13.jpg;Болотная Тварь;Как зовут этого супергероя?
15;5;image;superhero/quest_15.jpg;Чудо-Женщина;Как зовут этого супергероя?
16;6;image;superhero/quest_17.jpg;Черная вдова;Как зовут этого супергероя?
17;6;image;superhero/quest_16.jpg;Черная пантера;Как зовут этого супергероя?
18;6;image;superhero/quest_18.jpg;Капитан Марвел;Как зовут этого супергероя?
19;7;image;superhero/quest_19.jpg;Ник Фьюри;Как зовут этого супергероя?
20;7;image;superhero/quest_20.jpg;Зимний солдат;Как зовут этого супергероя?
21;7;image;superhero/quest_21.jpg;Железный Патриот;Как зовут этого супергероя?
22;8;text;superhero/quest_22.jpg;Джокер;Какой злодей получил свой отличительный вид от ядовитых химикатов на заводе?
23;8;text;superhero/quest_23.jpg;Бэтаранг;Какое оружие Бэтмен использует чаще всего?
24;8;text;superhero/quest_24.jpg;Пеппер Поттс;Как зовут верного помощника Железного человека?
25;9;image;superhero/quest_25.jpg;Большая Барда;Как зовут этого супергероя?
26;9;image;superhero/quest_26.jpg;Марсианский охотник;Как зовут этого супергероя?
27;9;image;superhero/quest_27.jpg;Доктор Фейт;Как зовут этого супергероя?
28;10;image;superhero/quest_28.jpg;Сорвиголова;Как зовут этого супергероя?
29;10;image;superhero/quest_29.jpg;Существо;Как зовут этого супергероя?
30;10;image;superhero/quest_30.jpg;Черный Адам;Как зовут этого супергероя?
31;11;image;superhero/quest_31.jpg;Дракс Разрушитель;Как зовут этого супергероя?
32;11;image;superhero/quest_32.jpg;Звёздный Лорд;Как зовут этого супергероя?
33;11;image;superhero/quest_33.jpg;Корат Преследователь;Как зовут этого супергероя?
34;12;image;superhero/quest_34.jpg;Мистерио;Как зовут этого суперзлодея?
35;12;image;superhero/quest_35.jpg;Норман Осборн;Настоящие имя и фамилия этого суперзлодея?
36;12;image;superhero/quest_36.jpg;Магнето;Как зовут этого суперзлодея?
